Distance (km),Delayed,Vehicle Type_Lorry,Vehicle Type_Trailer,Vehicle Type_Truck,Weather Conditions_Fog,Weather Conditions_Rain,Weather Conditions_Storm,Traffic Conditions_Light,Traffic Conditions_Moderate
1603,Yes,False,True,False,False,True,False,True,False
1237,Yes,False,True,False,False,False,True,False,True
1863,No,False,False,True,False,False,False,True,False
1374,No,False,False,False,False,False,False,True,False
676,Yes,False,False,False,False,False,False,False,False
746,Yes,False,False,False,False,False,True,True,False
1988,Yes,True,False,False,True,False,False,True,False
1521,Yes,False,False,False,False,True,False,False,True
390,Yes,False,False,True,False,True,False,True,False
324,No,False,True,False,False,False,False,True,False
1679,Yes,False,True,False,False,True,False,True,False
1823,Yes,False,True,False,False,True,False,False,True
520,Yes,False,False,True,False,False,False,False,True
1456,Yes,False,False,False,False,False,False,False,False
778,No,True,False,False,False,False,False,True,False
1671,Yes,False,False,True,False,False,False,False,True
1624,Yes,False,False,True,False,False,False,False,True
314,No,False,False,True,False,False,False,True,False
362,Yes,False,False,True,True,False,False,False,True
1691,Yes,True,False,False,False,True,False,True,False
999,No,False,False,False,False,False,False,True,False
1831,No,False,False,True,False,False,False,True,False
1522,No,True,False,False,False,False,False,True,False
1885,Yes,False,False,True,False,True,False,True,False
935,No,False,False,True,False,False,False,True,False
531,Yes,True,False,False,False,True,False,False,True
1328,No,False,False,False,False,False,False,True,False
1768,Yes,False,True,False,False,False,False,False,False
1997,No,False,False,False,False,False,False,True,False
215,No,True,False,False,False,False,False,True,False
1568,Yes,False,True,False,False,True,False,False,False
227,No,True,False,False,False,False,False,True,False
1621,Yes,True,False,False,False,True,False,False,False
1582,Yes,False,False,True,False,False,False,True,False
806,No,True,False,False,False,False,False,True,False
291,Yes,False,True,False,False,False,False,True,False
785,Yes,True,False,False,True,False,False,True,False
1886,No,False,False,True,False,False,False,True,False
961,No,False,True,False,False,False,False,True,False
1968,Yes,False,True,False,False,False,False,True,False
333,Yes,True,False,False,False,False,False,True,False
1513,Yes,False,True,False,False,False,False,False,False
1228,Yes,True,False,False,False,False,False,False,True
872,Yes,True,False,False,False,True,False,False,False
812,No,False,False,False,False,False,False,True,False
1244,Yes,False,False,False,False,False,False,True,False
355,Yes,False,False,True,False,False,False,False,True
1193,No,False,False,False,False,False,False,True,False
1317,Yes,False,False,True,False,False,False,False,True
1969,Yes,False,True,False,True,False,False,True,False
952,No,False,False,True,False,False,False,True,False
604,Yes,True,False,False,False,False,False,False,True
1174,No,False,False,True,False,False,False,True,False
362,No,False,True,False,False,False,False,True,False
1005,Yes,False,False,False,False,False,False,False,True
1250,Yes,False,False,False,False,False,False,True,False
1286,Yes,False,False,True,True,False,False,True,False
1521,Yes,False,False,False,True,False,False,True,False
921,Yes,True,False,False,True,False,False,True,False
1413,Yes,True,False,False,False,True,False,True,False
554,Yes,True,False,False,False,False,False,False,True
523,Yes,True,False,False,False,False,False,True,False
1367,Yes,False,False,False,False,False,False,False,True
1677,Yes,False,True,False,False,True,False,True,False
458,No,False,False,False,False,False,False,True,False
496,Yes,False,False,False,False,False,False,False,True
455,Yes,False,False,False,False,False,False,True,False
550,Yes,False,False,True,False,False,False,True,False
1718,Yes,False,False,False,False,False,False,False,True
617,Yes,False,True,False,False,False,False,False,True
879,Yes,False,False,False,False,False,False,False,False
683,Yes,True,False,False,False,False,False,False,True
629,Yes,True,False,False,False,False,False,False,True
1085,No,True,False,False,False,False,False,True,False
1244,Yes,False,False,True,False,False,True,False,True
1618,Yes,False,True,False,False,True,False,True,False
1154,Yes,False,False,False,False,False,False,False,True
1880,Yes,True,False,False,False,True,False,False,True
336,No,False,False,False,False,False,False,True,False
1849,Yes,True,False,False,False,False,False,False,True
421,Yes,False,False,True,False,True,False,False,True
725,Yes,False,False,True,False,False,False,False,True
1293,Yes,False,False,True,False,False,False,True,False
1848,Yes,True,False,False,True,False,False,True,False
1353,Yes,False,True,False,False,False,False,True,False
564,No,False,True,False,False,False,False,True,False
1814,No,False,True,False,False,False,False,True,False
408,Yes,False,False,True,True,False,False,True,False
587,No,False,True,False,False,False,False,True,False
1017,Yes,False,False,False,False,False,False,False,True
627,Yes,False,False,True,False,True,False,False,True
602,Yes,False,False,True,False,False,False,True,False
520,Yes,False,True,False,False,False,False,True,False
1382,Yes,True,False,False,False,False,False,False,False
518,Yes,True,False,False,False,False,False,False,False
1585,Yes,False,True,False,True,False,False,True,False
1861,Yes,False,False,False,False,False,False,True,False
232,Yes,False,False,True,True,False,False,True,False
1040,Yes,False,False,False,True,False,False,False,False
1414,Yes,False,False,False,False,False,True,False,True
1708,Yes,False,True,False,False,False,False,False,False
1839,Yes,False,True,False,False,False,False,False,False
1495,Yes,False,False,False,False,False,False,False,True
1340,No,True,False,False,False,False,False,True,False
364,Yes,False,True,False,False,False,False,False,False
1726,Yes,False,False,True,True,False,False,False,True
1172,Yes,False,False,True,False,True,False,True,False
501,Yes,True,False,False,False,False,False,False,False
1040,Yes,True,False,False,False,False,False,False,False
1635,Yes,False,True,False,True,False,False,True,False
1259,Yes,False,False,True,False,False,False,False,True
779,No,False,False,True,False,False,False,True,False
795,Yes,False,True,False,False,False,False,False,True
215,No,True,False,False,False,False,False,True,False
719,Yes,False,False,False,False,False,False,False,False
1625,No,True,False,False,False,False,False,True,False
1980,Yes,False,False,True,False,False,False,False,False
1937,Yes,False,True,False,False,False,False,True,False
361,Yes,False,False,True,False,False,False,False,True
1638,Yes,False,True,False,False,False,False,False,True
1703,No,False,True,False,False,False,False,True,False
410,No,True,False,False,False,False,False,True,False
321,Yes,False,False,True,False,False,False,False,True
953,No,True,False,False,False,False,False,True,False
1926,Yes,False,False,False,False,False,False,False,True
1313,Yes,False,False,False,False,False,False,False,False
578,Yes,False,True,False,False,False,False,True,False
1073,Yes,True,False,False,False,False,False,False,True
1120,No,False,False,True,False,False,False,True,False
1771,Yes,True,False,False,False,False,False,False,False
656,No,False,False,True,False,False,False,True,False
1112,Yes,False,False,False,False,False,False,False,True
1189,No,False,False,False,False,False,False,True,False
1610,Yes,False,True,False,False,False,False,False,True
1255,Yes,True,False,False,True,False,False,True,False
1101,Yes,False,False,False,False,False,False,False,True
1334,Yes,False,False,False,False,True,False,False,True
1783,Yes,True,False,False,False,True,False,True,False
603,No,False,False,True,False,False,False,True,False
1275,No,True,False,False,False,False,False,True,False
581,No,False,False,False,False,False,False,True,False
1374,Yes,False,False,False,False,False,False,True,False
203,Yes,False,True,False,True,False,False,False,False
476,Yes,False,False,False,True,False,False,True,False
600,No,False,False,True,False,False,False,True,False
1448,Yes,True,False,False,False,False,False,True,False
1430,No,False,False,True,False,False,False,True,False
1568,Yes,False,True,False,False,False,True,True,False
1578,Yes,False,True,False,False,False,False,False,False
1173,Yes,True,False,False,False,True,False,True,False
826,Yes,False,True,False,False,False,False,True,False
1067,No,False,False,True,False,False,False,True,False
1764,Yes,False,True,False,False,False,False,False,True
1238,Yes,False,False,True,False,False,False,False,False
564,Yes,True,False,False,False,False,False,False,True
957,Yes,False,False,False,False,True,False,True,False
1646,Yes,False,False,True,False,False,False,False,True
625,No,True,False,False,False,False,False,True,False
1938,Yes,True,False,False,False,True,False,True,False
282,Yes,False,True,False,False,False,False,False,False
1635,Yes,False,True,False,False,False,False,False,True
1708,Yes,True,False,False,False,False,False,True,False
1019,No,False,False,True,False,False,False,True,False
522,Yes,True,False,False,False,False,True,True,False
965,Yes,False,False,True,False,False,False,False,True
1060,No,False,True,False,False,False,False,True,False
1462,Yes,False,False,True,False,False,False,False,True
1350,Yes,False,False,False,False,False,False,False,False
1757,Yes,True,False,False,False,False,False,False,True
980,Yes,False,True,False,False,False,False,False,False
296,Yes,False,True,False,False,False,False,False,False
929,Yes,False,False,False,False,False,True,True,False
238,Yes,False,True,False,False,False,False,True,False
1452,No,False,False,True,False,False,False,True,False
1436,No,False,False,False,False,False,False,True,False
632,Yes,False,False,False,False,False,False,False,True
1229,Yes,False,False,False,False,True,False,False,True
975,Yes,True,False,False,False,False,False,False,True
544,Yes,False,False,False,False,False,False,False,False
1769,Yes,True,False,False,False,True,False,False,False
1960,Yes,False,False,True,True,False,False,False,False
1632,Yes,False,True,False,False,False,False,False,False
1438,Yes,True,False,False,False,False,False,False,True
1038,Yes,False,True,False,True,False,False,True,False
967,Yes,False,False,True,True,False,False,True,False
244,Yes,False,False,True,False,True,False,False,True
912,Yes,False,True,False,False,False,False,False,False
1046,Yes,False,True,False,False,False,True,True,False
541,Yes,False,False,False,False,False,False,False,True
1748,Yes,False,True,False,False,False,False,False,True
1399,Yes,False,True,False,False,False,False,False,True
1023,No,False,False,False,False,False,False,True,False
1684,Yes,False,True,False,False,False,False,False,True
1662,Yes,False,False,False,False,False,True,True,False
955,Yes,False,True,False,False,True,False,True,False
870,Yes,False,False,True,True,False,False,True,False
1217,Yes,True,False,False,False,True,False,False,True
1031,No,True,False,False,False,False,False,True,False
1824,Yes,True,False,False,False,False,False,False,True
792,No,False,False,True,False,False,False,True,False
725,No,False,True,False,False,False,False,True,False
935,Yes,False,False,True,False,True,False,False,True
638,Yes,False,True,False,False,True,False,True,False
674,Yes,False,False,False,True,False,False,True,False
349,Yes,False,True,False,False,False,True,True,False
871,Yes,False,True,False,False,False,False,False,False
411,No,False,False,True,False,False,False,True,False
1819,Yes,False,False,True,False,False,False,False,True
803,Yes,False,False,False,False,True,False,False,True
