Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Distance (km),Delayed,Vehicle Type_Lorry,Vehicle Type_Trailer,Vehicle Type_Truck,Weather Conditions_Fog,Weather Conditions_Rain,Weather Conditions_Storm,Traffic Conditions_Light,Traffic Conditions_Moderate
SHIP000000,Jaipur,Mumbai,2023-04-26,2023-05-01,2023-05-02,1603,Yes,False,True,False,False,True,False,True,False
SHIP000001,Bangalore,Delhi,2023-02-09,2023-02-13,2023-02-17,1237,Yes,False,True,False,False,False,True,False,True
SHIP000002,Mumbai,Chennai,2023-09-19,2023-09-25,2023-09-25,1863,No,False,False,True,False,False,False,True,False
SHIP000003,Hyderabad,Ahmedabad,2023-04-01,2023-04-05,2023-04-05,1374,No,False,False,False,False,False,False,True,False
SHIP000004,Chennai,Kolkata,2023-11-24,2023-11-26,2023-11-28,676,Yes,False,False,False,False,False,False,False,False
SHIP000005,Chennai,Ahmedabad,2024-03-14,2024-03-16,2024-03-19,746,Yes,False,False,False,False,False,True,True,False
SHIP000006,Bangalore,Lucknow,2024-05-28,2024-06-03,2024-06-10,1988,Yes,True,False,False,True,False,False,True,False
SHIP000007,Kolkata,Mumbai,2023-04-01,2023-04-06,2023-04-08,1521,Yes,False,False,False,False,True,False,False,True
SHIP000008,Kolkata,Bangalore,2023-10-01,2023-10-02,2023-10-03,390,Yes,False,False,True,False,True,False,True,False
SHIP000009,Lucknow,Ahmedabad,2023-03-08,2023-03-09,2023-03-09,324,No,False,True,False,False,False,False,True,False
SHIP000010,Delhi,Ahmedabad,2023-07-19,2023-07-24,2023-07-25,1679,Yes,False,True,False,False,True,False,True,False
SHIP000011,Ahmedabad,Delhi,2023-04-03,2023-04-09,2023-04-13,1823,Yes,False,True,False,False,True,False,False,True
SHIP000012,Mumbai,Kolkata,2023-06-12,2023-06-13,2023-06-18,520,Yes,False,False,True,False,False,False,False,True
SHIP000013,Hyderabad,Ahmedabad,2023-11-12,2023-11-16,2023-11-18,1456,Yes,False,False,False,False,False,False,False,False
SHIP000014,Hyderabad,Mumbai,2023-09-15,2023-09-17,2023-09-17,778,No,True,False,False,False,False,False,True,False
SHIP000015,Pune,Kolkata,2024-05-16,2024-05-21,2024-05-26,1671,Yes,False,False,True,False,False,False,False,True
SHIP000016,Chennai,Bangalore,2023-07-28,2023-08-02,2023-08-03,1624,Yes,False,False,True,False,False,False,False,True
SHIP000017,Lucknow,Pune,2023-11-28,2023-11-29,2023-11-29,314,No,False,False,True,False,False,False,True,False
SHIP000018,Jaipur,Mumbai,2023-09-03,2023-09-04,2023-09-07,362,Yes,False,False,True,True,False,False,False,True
SHIP000019,Pune,Lucknow,2024-02-02,2024-02-07,2024-02-08,1691,Yes,True,False,False,False,True,False,True,False
SHIP000020,Chennai,Jaipur,2024-04-12,2024-04-15,2024-04-15,999,No,False,False,False,False,False,False,True,False
SHIP000021,Lucknow,Pune,2023-11-13,2023-11-19,2023-11-19,1831,No,False,False,True,False,False,False,True,False
SHIP000022,Jaipur,Chennai,2023-06-24,2023-06-29,2023-06-29,1522,No,True,False,False,False,False,False,True,False
SHIP000023,Jaipur,Ahmedabad,2023-05-04,2023-05-10,2023-05-11,1885,Yes,False,False,True,False,True,False,True,False
SHIP000024,Jaipur,Ahmedabad,2023-12-20,2023-12-23,2023-12-23,935,No,False,False,True,False,False,False,True,False
SHIP000025,Delhi,Chennai,2023-11-30,2023-12-01,2023-12-03,531,Yes,True,False,False,False,True,False,False,True
SHIP000026,Kolkata,Chennai,2023-05-22,2023-05-26,2023-05-26,1328,No,False,False,False,False,False,False,True,False
SHIP000027,Hyderabad,Pune,2023-10-31,2023-11-05,2023-11-07,1768,Yes,False,True,False,False,False,False,False,False
SHIP000028,Pune,Chennai,2023-08-19,2023-08-25,2023-08-25,1997,No,False,False,False,False,False,False,True,False
SHIP000029,Ahmedabad,Kolkata,2023-08-12,2023-08-13,2023-08-13,215,No,True,False,False,False,False,False,True,False
SHIP000030,Hyderabad,Pune,2023-08-19,2023-08-24,2023-08-27,1568,Yes,False,True,False,False,True,False,False,False
SHIP000031,Jaipur,Ahmedabad,2024-04-13,2024-04-14,2024-04-14,227,No,True,False,False,False,False,False,True,False
SHIP000032,Ahmedabad,Hyderabad,2023-05-05,2023-05-10,2023-05-13,1621,Yes,True,False,False,False,True,False,False,False
SHIP000033,Ahmedabad,Mumbai,2024-04-19,2024-04-24,2024-04-26,1582,Yes,False,False,True,False,False,False,True,False
SHIP000034,Pune,Chennai,2023-10-05,2023-10-07,2023-10-07,806,No,True,False,False,False,False,False,True,False
